date;time;woj;newc;newd;totalc;totald
2020-04-03;22:50;Polska;0;0;3383;71
2020-04-03;22:50;dolnośląskie;0;0;400;6
2020-04-03;22:50;kujawsko-pomorskie;0;0;199;1
2020-04-03;22:50;lubelskie;0;0;157;6
2020-04-03;22:50;lubuskie;0;0;51;
2020-04-03;22:50;mazowieckie;0;0;819;14
2020-04-03;22:50;małopolskie;0;0;262;5
2020-04-03;22:50;opolskie;0;0;79;1
2020-04-03;22:50;podkarpackie;0;0;125;4
2020-04-03;22:50;podlaskie;0;0;74;
2020-04-03;22:50;pomorskie;0;0;82;
2020-04-03;22:50;warmińsko-mazurskie;0;0;75;
2020-04-03;22:50;wielkopolskie;0;0;213;12
2020-04-03;22:50;zachodniopomorskie;0;0;89;2
2020-04-03;22:50;łódzkie;0;0;248;3
2020-04-03;22:50;śląskie;0;0;431;16
2020-04-03;22:50;świętokrzyskie;0;0;79;1
2020-04-04;17:32;Polska;244;8;3627;79
2020-04-04;17:32;dolnośląskie;7;0;407;6
2020-04-04;17:32;kujawsko-pomorskie;25;0;224;1
2020-04-04;17:32;lubelskie;8;0;165;6
2020-04-04;17:32;lubuskie;5;0;56;
2020-04-04;17:32;mazowieckie;-11;0;808;14
2020-04-04;17:32;małopolskie;46;0;308;5
2020-04-04;17:32;opolskie;11;0;90;1
2020-04-04;17:32;podkarpackie;11;0;136;4
2020-04-04;17:32;podlaskie;8;0;82;
2020-04-04;17:32;pomorskie;22;0;104;
2020-04-04;17:32;warmińsko-mazurskie;3;1;78;1
2020-04-04;17:32;wielkopolskie;20;1;233;13
2020-04-04;17:32;zachodniopomorskie;11;0;100;2
2020-04-04;17:32;łódzkie;11;0;259;3
2020-04-04;17:32;śląskie;65;6;496;22
2020-04-04;17:32;świętokrzyskie;2;0;81;1
2020-04-05;17:30;Polska;475;15;4102;94
2020-04-05;17:30;dolnośląskie;61;4;468;10
2020-04-05;17:30;kujawsko-pomorskie;17;0;241;1
2020-04-05;17:30;lubelskie;9;0;174;6
2020-04-05;17:30;lubuskie;3;0;59;
2020-04-05;17:30;mazowieckie;159;6;967;20
2020-04-05;17:30;małopolskie;19;2;327;7
2020-04-05;17:30;opolskie;4;0;94;1
2020-04-05;17:30;podkarpackie;13;1;149;5
2020-04-05;17:30;podlaskie;9;1;91;1
2020-04-05;17:30;pomorskie;13;0;117;
2020-04-05;17:30;warmińsko-mazurskie;2;0;80;1
2020-04-05;17:30;wielkopolskie;40;1;273;14
2020-04-05;17:30;zachodniopomorskie;6;0;106;2
2020-04-05;17:30;łódzkie;67;0;326;3
2020-04-05;17:30;śląskie;41;0;537;22
2020-04-05;17:30;świętokrzyskie;12;0;93;1
2020-04-06;17:38;Polska;311;13;4413;107
2020-04-06;17:38;dolnośląskie;20;3;488;13
2020-04-06;17:38;kujawsko-pomorskie;4;0;245;1
2020-04-06;17:38;lubelskie;7;1;181;7
2020-04-06;17:38;lubuskie;3;0;62;
2020-04-06;17:38;mazowieckie;98;3;1065;23
2020-04-06;17:38;małopolskie;22;0;349;7
2020-04-06;17:38;opolskie;7;1;101;2
2020-04-06;17:38;podkarpackie;7;1;156;6
