date;woj;typ;tests
2020-05-11;Polska;T;491216
2020-05-11;dolnośląskie;T;33849
2020-05-11;kujawsko-pomorskie;T;15361
2020-05-11;lubelskie;T;21597
2020-05-11;lubuskie;T;6858
2020-05-11;mazowieckie;T;143966
2020-05-11;małopolskie;T;35949
2020-05-11;opolskie;T;4750
2020-05-11;podkarpackie;T;13120
2020-05-11;podlaskie;T;15382
2020-05-11;pomorskie;T;34098
2020-05-11;warmińsko-mazurskie;T;17007
2020-05-11;wielkopolskie;T;48855
2020-05-11;zachodniopomorskie;T;12115
2020-05-11;łódzkie;T;32447
2020-05-11;śląskie;T;42529
2020-05-11;świętokrzyskie;T;13303
2020-05-18;Polska;T;628585
2020-05-18;Polska;N;137369
2020-05-18;dolnośląskie;T;45700
2020-05-18;dolnośląskie;N;11851
2020-05-18;kujawsko-pomorskie;T;23824
2020-05-18;kujawsko-pomorskie;N;8463
2020-05-18;lubelskie;T;27188
2020-05-18;lubelskie;N;5591
2020-05-18;lubuskie;T;8562
2020-05-18;lubuskie;N;1704
2020-05-18;mazowieckie;T;177452
2020-05-18;mazowieckie;N;33486
2020-05-18;małopolskie;T;48686
2020-05-18;małopolskie;N;12737
2020-05-18;opolskie;T;5553
2020-05-18;opolskie;N;803
2020-05-18;podkarpackie;T;15302
2020-05-18;podkarpackie;N;2182
2020-05-18;podlaskie;T;17936
2020-05-18;podlaskie;N;2554
2020-05-18;pomorskie;T;42672
2020-05-18;pomorskie;N;8574
2020-05-18;warmińsko-mazurskie;T;19888
2020-05-18;warmińsko-mazurskie;N;2881
2020-05-18;wielkopolskie;T;70519
2020-05-18;wielkopolskie;N;21664
2020-05-18;zachodniopomorskie;T;16359
2020-05-18;zachodniopomorskie;N;4244
2020-05-18;łódzkie;T;38060
2020-05-18;łódzkie;N;5613
2020-05-18;śląskie;T;55985
2020-05-18;śląskie;N;13456
2020-05-18;świętokrzyskie;T;14899
2020-05-18;świętokrzyskie;N;1596
2020-05-25;Polska;T;764655
2020-05-25;Polska;N;136070
2020-05-25;dolnośląskie;T;58003
2020-05-25;dolnośląskie;N;12303
2020-05-25;kujawsko-pomorskie;T;33081
2020-05-25;kujawsko-pomorskie;N;9257
2020-05-25;lubelskie;T;32240
2020-05-25;lubelskie;N;5052
2020-05-25;lubuskie;T;10489
2020-05-25;lubuskie;N;1927
2020-05-25;mazowieckie;T;210239
2020-05-25;mazowieckie;N;32787
2020-05-25;małopolskie;T;62466
2020-05-25;małopolskie;N;13780
2020-05-25;opolskie;T;6287
2020-05-25;opolskie;N;734
2020-05-25;podkarpackie;T;17342
2020-05-25;podkarpackie;N;2040
2020-05-25;podlaskie;T;20235
2020-05-25;podlaskie;N;2299
2020-05-25;pomorskie;T;50578
2020-05-25;pomorskie;N;7906
2020-05-25;warmińsko-mazurskie;T;23478
2020-05-25;warmińsko-mazurskie;N;3590
2020-05-25;wielkopolskie;T;91178
2020-05-25;wielkopolskie;N;20659
2020-05-25;zachodniopomorskie;T;19975
2020-05-25;zachodniopomorskie;N;3616
2020-05-25;łódzkie;T;43235
2020-05-25;łódzkie;N;5175
2020-05-25;śląskie;T;69143
2020-05-25;śląskie;N;13158
2020-05-25;świętokrzyskie;T;16686
2020-05-25;świętokrzyskie;N;1787
2020-06-01;Polska;T;909097
2020-06-01;Polska;N;144442
2020-06-01;dolnośląskie;T;70568
2020-06-01;dolnośląskie;N;12565
2020-06-01;kujawsko-pomorskie;T;44390
2020-06-01;kujawsko-pomorskie;N;11309
2020-06-01;lubelskie;T;38067
2020-06-01;lubelskie;N;5827
2020-06-01;lubuskie;T;12268
2020-06-01;lubuskie;N;1779
