date;beds;units;persons;personsN;presonsR;beds0;units0
2020-07-01;1923;78;83033;;;;
2020-07-02;1787;73;83521;;;;
2020-07-03;1743;72;84790;;;;
2020-07-04;1731;74;84560;;;;
2020-07-05;1765;77;83813;;;;
2020-07-06;1790;76;83767;;;;
2020-07-07;1658;73;85327;;;;
2020-07-08;1683;66;84363;;;;
2020-07-09;1687;65;85955;;;;
2020-07-10;1597;66;86712;;;;
2020-07-11;1617;67;86915;;;;
2020-07-12;1610;65;86168;;;;
2020-07-13;1640;69;85610;;;;
2020-07-14;1581;74;86747;;;;
2020-07-15;1575;73;87698;;;;
2020-07-16;1550;68;90496;;;;
2020-07-17;1604;71;86073;;;;
2020-07-18;1551;66;92008;;;;
2020-07-19;1560;67;89956;;;;
2020-07-20;1575;72;89822;;;;
2020-07-21;1607;73;90767;;;;
2020-07-22;1644;73;90961;;;;
2020-07-23;1626;71;92577;;;;
2020-07-24;1617;61;93815;;;;
2020-07-25;1594;65;94164;;;;
2020-07-26;1601;68;93311;;;;
2020-07-27;1625;69;92803;;;;
2020-07-28;1655;61;94920;;;;
2020-07-29;1687;66;95453;;;;
2020-07-30;1694;63;97561;;;;
2020-07-31;1778;72;97189;;;;
2020-08-01;1841;74;98282;;;;
2020-08-02;1835;76;96425;;;;
2020-08-03;1841;74;95794;;;;
2020-08-04;1859;65;98875;;;;
2020-08-05;1898;72;100151;;;;
2020-08-06;1913;73;102815;;;;
2020-08-07;1928;73;104923;;;;
2020-08-08;1928;72;107229;;;;
2020-08-09;1930;73;105795;;;;
2020-08-10;1929;71;104167;;;;
2020-08-11;1985;74;105427;;;;
2020-08-12;2021;76;106915;;;;
2020-08-13;2059;82;108677;;;;
2020-08-14;2040;79;108309;;;;
2020-08-15;2028;84;107395;;;;
2020-08-16;2035;81;103805;;;;
2020-08-17;2040;83;102970;;;;
2020-08-18;2057;82;103236;;;;
2020-08-19;2097;83;103621;;;;
2020-08-20;2110;85;103961;;;;
2020-08-21;2151;84;103351;;;;
2020-08-22;2189;79;303876;;;;
2020-08-23;2195;81;100066;;;;
2020-08-24;2207;83;98233;;;;
2020-08-25;2167;76;100023;;;;
2020-08-26;2170;79;99705;;;;
2020-08-27;2185;82;101678;;;;
2020-08-28;2221;89;101547;;;;
2020-08-29;2237;87;100845;;;;
2020-08-30;2242;85;98576;;;;
2020-08-31;2249;83;96351;;;;
2020-09-01;2138;86;96888;;;;
2020-09-02;2168;83;96664;;;;
2020-09-03;2170;81;98341;;;;
2020-09-04;2179;75;71311;;;;
2020-09-05;2090;77;71452;;;;
2020-09-06;2091;79;70788;;;;
2020-09-07;2113;81;72285;;;;
2020-09-08;2042;81;76047;;;;
2020-09-09;2070;81;79124;;;;
2020-09-10;1924;84;83170;;;;
2020-09-11;1957;82;86892;;;;
2020-09-12;1946;85;90216;;;;
2020-09-13;1961;86;91819;;;;
2020-09-14;1972;87;92057;;;;
2020-09-15;1996;92;95241;;;;
2020-09-16;2007;86;94273;;;;
2020-09-17;1917;84;103425;;;;
2020-09-18;1925;83;111530;;;;
2020-09-19;1977;83;118864;;;;
2020-09-20;1985;86;118212;;;;
2020-09-21;1979;83;116871;;;;
2020-09-22;1883;85;115789;;;;
2020-09-23;1971;89;114000;;;;
2020-09-24;1964;91;125220;;;;
2020-09-25;1995;96;137023;;;;
2020-09-26;2134;110;143442;;;;
2020-09-27;2223;124;139460;;;;
2020-09-28;2305;130;136128;;;;
2020-09-29;2399;141;134588;;;;
2020-09-30;2481;152;129961;;;;
2020-10-01;2560;159;133981;;;;
2020-10-02;2702;166;139056;;;;
2020-10-03;2850;179;158038;;;;
2020-10-04;2977;191;150565;;;;
2020-10-05;3158;219;154365;;;;
2020-10-06;3719;263;159530;;;;
2020-10-07;4000;283;145873;;;;
2020-10-08;4138;296;171251;;;;
2020-10-09;4407;320;188629;;;;
2020-10-10;4725;346;206048;;;;
2020-10-11;4924;383;231032;;;;
2020-10-12;5262;404;250132;;;;
2020-10-13;5669;421;212446;;;;
2020-10-14;6084;467;249349;;;;
2020-10-15;6538;508;296020;;;;
2020-10-16;6980;540;311625;;;;
2020-10-17;7612;604;327507;;;;
2020-10-18;8076;649;320482;45909;92651;;
2020-10-19;8375;672;304567;46864;94014;;
2020-10-20;8962;725;289447;44675;95956;;
2020-10-21;9439;757;335060;42688;98884;;
2020-10-22;10091;812;378348;47314;102204;;
2020-10-23;10788;851;398851;52753;105092;18432;1393
2020-10-24;11496;911;478761;57802;109344;19132;1434
2020-10-25;11887;947;446154;49174;112619;19453;1457
2020-10-26;12282;999;445991;54268;115302;19610;1490
2020-10-27;13291;1078;442109;54440;119237;20704;1594
2020-10-28;13931;1150;479288;47242;123504;21506;1663
2020-10-29;14631;1203;489079;48977;129267;22467;1733
2020-10-30;15444;1254;496213;49503;134724;23111;1777
2020-10-31;16144;1305;504706;48928;140280;24024;1807
2020-11-01;16427;1371;489159;48301;146595;24483;1852
2020-11-02;17223;1453;435343;46844;154413;24807;1916
2020-11-03;18160;1550;421582;46697;159986;25902;1979
2020-11-04;18654;1625;408121;43549;168960;27143;2094
2020-11-05;19114;1615;430732;42689;177681;28010;2144
2020-11-06;19479;1703;433524;42562;188675;29407;2238
2020-11-07;20249;1813;441832;52655;200510;30896;2357
2020-11-08;20214;1841;407579;42921;209363;31250;2459
2020-11-09;20967;1804;376567;41403;219371;31815;2442
2020-11-10;21640;1898;407486;37655;230661;32586;2460
2020-11-11;21521;1975;431104;36263;242875;33603;2569
2020-11-12;21899;2008;404352;27706;254349;33662;2601
2020-11-13;22298;2047;430310;30420;267580;34622;2659
2020-11-14;22320;2126;440025;30625;282215;35182;2805
2020-11-15;21988;2114;409322;29920;294783;35448;2751
2020-11-16;22458;2103;422767;28528;306022;35604;2754
2020-11-17;23033;2114;415174;25618;324282;36730;2815
2020-11-18;22812;2117;415601;25653;342883;36802;2829
2020-11-19;22536;2080;434034;24717;361886;37348;2888
2020-11-20;22643;2135;408567;23153;381800;37558;2936
2020-11-21;22478;2125;391837;22982;407075;37895;2956
2020-11-22;22094;2126;356130;22156;423971;38136;2978
2020-11-23;22234;2149;362959;21290;438868;38111;3116
2020-11-24;22405;2095;334331;19671;454717;38345;3010
2020-11-25;22119;2073;338769;18592;469527;38635;3041
2020-11-26;21636;2109;338190;16753;494869;38671;3060
2020-11-27;21691;2106;323887;16776;516636;38955;3070
2020-11-28;21476;2100;336352;12764;538273;39318;3090
2020-11-29;21059;2100;286117;11998;559429;39224;3081
2020-11-30;21504;2118;292277;11540;577514;39236;3074
2020-12-01;21351;2032;262959;11305;597589;39732;3103
2020-12-02;20855;2023;268256;12283;622980;39051;3106
2020-12-03;20477;1986;289972;13646;646560;38962;3109
2020-12-04;20135;1961;262548;19605;666413;39102;3141
2020-12-05;19895;1906;250594;13334;687910;38529;3119
2020-12-06;19363;1900;253747;12893;706720;38358;3110
2020-12-07;19917;1886;231300;12492;722446;38412;3114
2020-12-08;19917;1835;237786;12050;738845;38123;3187
2020-12-09;19459;1800;254786;12326;768241;38230;3112
2020-12-10;19131;1775;219992;11389;792119;38186;3121
2020-12-11;18941;1766;240381;11493;815356;38057;3120
2020-12-12;18778;1765;208280;12807;840541;37664;3124
2020-12-13;18533;1784;209390;12581;858895;37488;3108
2020-12-14;18813;1807;191726;12310;869155;37411;3103
2020-12-15;19210;1739;177899;11433;879748;36799;3098
2020-12-16;18899;1732;183997;10879;892650;36628;3090
2020-12-18;18542;1725;208368;11258;915576;36659;3145
2020-12-19;18342;1695;205175;10692;927723;36270;3103
2020-12-20;18180;1710;166375;9774;938269;35986;3099
2020-12-21;18376;1714;171536;9707;946017;35974;3084
2020-12-22;18521;1673;163030;9023;954272;35578;3071
2020-12-23;17794;1639;176634;9130;965178;35434;3066
2020-12-24;17239;1610;181114;9198;975876;35410;3078
2020-12-25;16735;1603;162608;8949;984683;35331;3065
2020-12-26;16457;1603;161845;8511;992381;35300;3072
2020-12-27;16686;1586;150399;8311;999610;35293;3063
2020-12-28;17078;1599;141744;8109;1005376;35282;3067
2020-12-29;17299;1604;156453;6699;1014005;35226;3067
