countryname;access;id
AUSTRALIA;1971;AU
AUSTRIA;1961;AT
BELGIUM;1961;BE
CANADA;1961;CA
CHILE;2010;CL
COLOMBIA;2020;CO
CZECHIA;1995;CZ
DENMARK;1961;DK
ESTONIA;2010;EE
FINLAND;1969;FI
FRANCE;1961;FR
GERMANY;1961;DE
GREECE;1961;GR
HUNGARY;1996;HU
ICELAND;1961;IS
IRELAND;1961;IE
ISRAEL;2010;IL
ITALY;1962;IT
JAPAN;1964;JP
KOREA;1996;KR
LATVIA;2016;LV
LITHUANIA;2018;LT
LUXEMBOURG;1961;LU
MEXICO;1994;MX
NETHERLANDS;1961;NL
NEW ZEALAND;1973;NZ
NORWAY;1961;NO
POLAND;1996;PL
PORTUGAL;1961;PT
SLOVAKIA;2000;SK
SLOVENIA;2010;SI
SPAIN;1961;ES
SWEDEN;1961;SE
SWITZERLAND;1961;CH
TURKEY;1961;TR
UNITED KINGDOM;1961;GB
UNITED STATES;1961;US
