id;popData2019;continent
AD;76177;Europe
AE;9770526;Asia
AF;38041757;Asia
AG;97115;America
AI;14872;America
AL;2862427;Europe
AM;2957728;Europe
AO;31825299;Africa
AR;44780675;America
AT;8858775;Europe
AU;25203200;Oceania
AW;106310;America
AZ;10047719;Europe
BA;3300998;Europe
BB;287021;America
BD;163046173;Asia
BE;11455519;Europe
BF;20321383;Africa
BG;7000039;Europe
BH;1641164;Asia
BI;11530577;Africa
BJ;11801151;Africa
BM;62508;America
BN;433296;Asia
BO;11513102;America
BQ;25983;America
BR;211049519;America
BS;389486;America
BT;763094;Asia
BW;2303703;Africa
BY;9452409;Europe
BZ;390351;America
CA;37411038;America
CD;86790568;Africa
CF;4745179;Africa
CG;5380504;Africa
CH;8544527;Europe
CI;25716554;Africa
CL;18952035;America
CM;25876387;Africa
CN;1433783692;Asia
CO;50339443;America
CR;5047561;America
CU;11333484;America
CV;549936;Africa
CW;163423;America
CY;875899;Europe
CZ;10649800;Europe
DE;83019213;Europe
DJ;973557;Africa
DK;5806081;Europe
DM;71808;America
DO;10738957;America
DZ;43053054;Africa
EC;17373657;America
EE;1324820;Europe
EG;100388076;Africa
EH;582458;Africa
GR;10724599;Europe
ER;3497117;Africa
ES;46937060;Europe
ET;112078727;Africa
FI;5517919;Europe
FJ;889955;Oceania
FK;3372;America
FO;48677;Europe
FR;67012883;Europe
GA;2172578;Africa
GD;112002;America
GE;3996762;Europe
GG;64468;Europe
GH;30417858;Africa
GI;33706;Europe
GL;56660;America
GM;2347696;Africa
GN;12771246;Africa
GQ;1355982;Africa
GT;17581476;America
GU;167295;Oceania
GW;1920917;Africa
GY;782775;America
HN;9746115;America
HR;4076246;Europe
HT;11263079;America
HU;9772756;Europe
ID;270625567;Asia
IE;4904240;Europe
IL;8519373;Asia
IM;84589;Europe
IN;1366417756;Asia
IQ;39309789;Asia
IR;82913893;Asia
IS;356991;Europe
IT;60359546;Europe
JE;107796;Europe
JM;2948277;America
JO;10101697;Asia
JP;126860299;Asia
JPG11668;;Other
KE;52573967;Africa
KG;6415851;Asia
KH;16486542;Asia
KM;850891;Africa
KN;52834;America
KR;51225321;Asia
KW;4207077;Asia
KY;64948;America
KZ;18551428;Asia
LA;7169456;Asia
LB;6855709;Asia
LC;182795;America
LI;38378;Europe
LK;21323734;Asia
LR;4937374;Africa
LS;2125267;Africa
LT;2794184;Europe
LU;613894;Europe
LV;1919968;Europe
LY;6777453;Africa
MA;36471766;Africa
MC;33085;Europe
MD;4043258;Europe
ME;622182;Europe
MG;26969306;Africa
MK;2077132;Europe
ML;19658023;Africa
MM;54045422;Asia
MN;3225166;Asia
MP;57213;Oceania
MR;4525698;Africa
MS;4991;America
MT;493559;Europe
MU;1269670;Africa
MV;530957;Asia
MW;18628749;Africa
MX;127575529;America
MY;31949789;Asia
MZ;30366043;Africa
NA;2494524;Africa
NC;282757;Oceania
NE;23310719;Africa
NG;200963603;Africa
NI;6545503;America
NL;17282163;Europe
NO;5328212;Europe
NP;28608715;Asia
NZ;4783062;Oceania
OM;4974992;Asia
PA;4246440;America
PE;32510462;America
PF;279285;Oceania
PG;8776119;Oceania
PH;108116622;Asia
PK;216565317;Asia
PL;37972812;Europe
PR;2933404;America
PS;4981422;Asia
PT;10276617;Europe
PY;7044639;America
QA;2832071;Asia
RO;19414458;Europe
RS;6963764;Europe
RU;145872260;Europe
RW;12626938;Africa
SA;34268529;Asia
SC;97741;Africa
SD;42813237;Africa
SE;10230185;Europe
SG;5804343;Asia
SI;2080908;Europe
SK;5450421;Europe
SL;7813207;Africa
SM;34453;Europe
SN;16296362;Africa
SO;15442906;Africa
SR;581363;America
SS;11062114;Africa
ST;215048;Africa
SV;6453550;America
SX;42389;America
SY;17070132;Asia
SZ;1148133;Africa
TC;38194;America
TD;15946882;Africa
TG;8082359;Africa
TH;69625581;Asia
TJ;9321023;Asia
TL;1293120;Asia
TN;11694721;Africa
TR;82003882;Asia
TT;1394969;America
TW;23773881;Asia
TZ;58005461;Africa
UA;43993643;Europe
UG;44269587;Africa
GB;66647112;Europe
US;329064917;America
UY;3461731;America
UZ;32981715;Asia
VA;815;Europe
VC;110593;America
VE;28515829;America
VG;30033;America
VI;104579;America
VN;96462108;Asia
XK;1798506;Europe
YE;29161922;Asia
ZA;58558267;Africa
ZM;17861034;Africa
ZW;14645473;Africa
