date;tt;tp;tc;omit;nt;np;nc;tc_ratio;tp_ratio
2020-08-01;2273553;1952836;46346;NA;NA;NA;NA;NA;NA
2020-08-02;2297427;1969570;46894;NA;NA;NA;NA;NA;NA
2020-08-03;2315210;1980641;47469;NA;17783;11071;575;3.23;5.19
2020-08-04;2341039;1999529;28149;NA;25829;18888;-19320;-74.80;-102.29
2020-08-05;2374686;2027951;48789;NA;33647;28422;20640;61.34;72.62
2020-08-06;2403336;2049229;49515;NA;28650;21278;726;2.53;3.41
2020-08-07;2436012;2074473;50324;NA;32676;25244;809;2.48;3.20
2020-08-09;2219459;2123622;51791;NA;-216553;49149;1467;-0.68;2.98
2020-08-10;2234383;2138021;52410;NA;14924;14399;619;4.15;4.30
2020-08-11;2257525;2158532;52961;NA;23142;20511;551;2.38;2.69
2020-08-12;2281604;2182027;53676;NA;24079;23495;715;2.97;3.04
2020-08-13;2307735;2207204;54487;NA;26131;25177;811;3.10;3.22
2020-08-14;2334461;2232996;55312;NA;26726;25792;825;3.09;3.20
2020-08-15;2359093;2256726;56090;NA;24632;23730;778;3.16;3.28
2020-08-16;2375706;2272730;56684;NA;16613;16004;594;3.58;3.71
2020-08-17;2388864;2285508;57279;NA;13158;12778;595;4.52;4.66
2020-08-18;2409394;2305392;57876;NA;20530;19884;597;2.91;3.00
2020-08-19;2438135;2333126;58611;NA;28741;27734;735;2.56;2.65
2020-08-20;2463734;2357772;59378;NA;25599;24646;767;3.00;3.11
2020-08-21;2493423;2386438;60281;NA;29689;28666;903;3.04;3.15
2020-08-22;2519127;2411231;61181;NA;25704;24793;900;3.50;3.63
2020-08-23;2538761;2430214;61762;NA;19634;18983;581;2.96;3.06
2020-08-24;2555515;2445546;62310;NA;16754;15332;548;3.27;3.57
2020-08-25;2577726;2467528;63073;NA;22211;21982;763;3.44;3.47
2020-08-26;2606620;2495839;63802;NA;28894;28311;729;2.52;2.57
2020-08-27;2634903;2522949;64689;NA;28283;27110;887;3.14;3.27
2020-08-28;2660665;2547731;65480;NA;25762;24782;791;3.07;3.19
2020-08-29;2682536;2568806;66239;NA;21871;21075;759;3.47;3.60
2020-08-30;2701553;2587559;66870;NA;19017;18753;631;3.32;3.36
2020-08-31;2714027;2599569;67372;NA;12474;12010;502;4.02;4.18
2020-09-01;2743434;2628272;67922;NA;29407;28703;550;1.87;1.92
2020-09-02;2777601;2652626;68517;NA;34167;24354;595;1.74;2.44
2020-09-03;2793285;2676598;69129;NA;15684;23972;612;3.90;2.55
2020-09-04;2815778;2698343;69820;NA;22493;21745;691;3.07;3.18
2020-09-05;2841344;2723162;70387;NA;25566;24819;567;2.22;2.28
2020-09-06;2859963;2741988;70824;NA;18619;18826;437;2.35;2.32
2020-09-07;2870266;2751413;71126;NA;10303;9425;302;2.93;3.20
2020-09-08;2889084;2769608;71526;NA;18818;18195;400;2.13;2.20
2020-09-09;2912411;2792387;71947;NA;23327;22779;421;1.80;1.85
2020-09-10;2931091;2810401;72453;NA;18680;18014;506;2.71;2.81
2020-09-11;2949734;2829116;73047;NA;18643;18715;594;3.19;3.17
2020-09-12;2970888;2849407;73650;NA;21154;20291;603;2.85;2.97
2020-09-13;2985390;2863566;74152;NA;14502;14159;502;3.46;3.55
2020-09-15;3016740;2893600;75134;NA;31350;30034;982;3.13;3.27
2020-09-16;3038652;2914967;75734;NA;21912;21367;600;2.74;2.81
2020-09-17;3060844;2936840;76571;NA;22192;21873;837;3.77;3.83
2020-09-18;3081867;2957030;77328;NA;21023;20190;757;3.60;3.75
2020-09-19;3101907;2976527;78330;NA;20040;19497;1002;5.00;5.14
2020-09-20;3120895;2995131;79240;NA;18988;18604;910;4.79;4.89
2020-09-22;3155718;3027118;80699;NA;34823;31987;1459;4.19;4.56
2020-09-23;3177776;3048348;81673;NA;22058;21230;974;4.42;4.59
2020-09-24;3201501;3071718;82809;NA;23725;23370;1136;4.79;4.86
2020-09-25;3225733;3095373;84396;NA;24232;23655;1587;6.55;6.71
2020-09-26;3249023;3117767;85980;NA;23290;22394;1584;6.80;7.07
2020-09-27;3267844;3136297;87330;NA;18821;18530;1350;7.17;7.29
2020-09-28;3281311;3149201;88636;NA;13467;12904;1306;9.70;10.12
2020-09-30;3332451;3197636;91514;16688;51140;48435;2878;5.63;5.94
2020-10-01;3362066;3226595;93481;18841;29615;28959;1967;6.64;6.79
2020-10-02;3390790;3253095;95773;21152;28724;26500;2292;7.98;8.65
2020-10-03;3421305;3282541;98140;24583;30515;29446;2367;7.76;8.04
2020-10-04;3447281;3307795;100074;24707;25976;25254;1934;7.45;7.66
2020-10-05;3465605;3325513;102080;24794;18324;17718;2006;10.95;11.32
2020-10-06;3489641;3348809;104316;32965;24036;23296;2236;9.30;9.60
2020-10-08;3577810;3423975;111599;46391;88169;75166;7283;8.26;9.69
2020-10-09;3599722;3455011;116338;54769;21912;31036;4739;21.63;15.27
2020-10-10;3636850;3490970;121638;65575;37128;35959;5300;14.27;14.74
2020-10-11;3668030;3521257;125816;65918;31180;30287;4178;13.40;13.79
2020-10-12;3693108;3545486;130210;66103;25078;24229;4394;17.52;18.14
2020-10-13;3726959;3577867;135278;90174;33851;32381;5068;14.97;15.65
2020-10-14;3770811;3620572;141804;106181;43852;42705;6526;14.88;15.28
2020-10-15;3835329;3682787;149903;123840;64518;62215;8099;12.55;13.02
2020-10-16;3886154;3732187;157608;143248;50825;49400;7705;15.16;15.60
2020-10-17;3935143;3779791;167230;164843;48989;47604;9622;19.64;20.21
2020-10-18;3972432;3814664;175766;165417;37289;34873;8536;22.89;24.48
2020-10-19;4008471;3850148;183248;165951;36039;35484;7482;20.76;21.09
2020-10-20;4050049;3889947;192539;208995;41578;39799;9291;22.35;23.34
2020-10-21;4109390;3948032;202579;239791;59341;58085;10040;16.92;17.29
2020-10-22;4159590;3996745;214686;273898;50200;48713;12107;24.12;24.85
2020-10-24;4277063;4110475;241946;354852;117473;113730;27260;23.21;23.97
2020-10-25;4330602;4163105;253688;356009;53539;52630;11742;21.93;22.31
2020-10-26;4381009;4212348;263929;356685;50407;49243;10241;20.32;20.80
2020-10-27;4447071;4276444;280229;430425;66062;64096;16300;24.67;25.43
2020-10-29;4575570;4404544;319205;525646;128499;128100;38976;30.33;30.43
2020-10-30;4653611;4480103;340834;564481;78041;75559;21629;27.71;28.63
