dat;powiat;nc
2020-03-18;Gdynia;0
2020-03-18;Gdańsk;0
2020-03-18;Słupsk;0
2020-03-18;Sopot;0
2020-03-18;tczewski;0
2020-03-18;gdański;0
2020-03-18;kartuski;0
2020-03-18;bytowski;0
2020-03-18;malborski;0
2020-03-18;pucki;0
2020-03-18;wejherowski;0
2020-03-18;starogardzki;0
2020-03-18;chojnicki;0
2020-03-18;sztumski;0
2020-03-18;kwidzyński;0
2020-03-18;kościerski;0
2020-03-18;nowodworski;0
2020-03-18;słupski;0
2020-03-18;lęborski;0
2020-03-18;człuchowski;0
2020-03-20;Gdynia;0
2020-03-20;Gdańsk;0
2020-03-20;Słupsk;0
2020-03-20;Sopot;0
2020-03-20;tczewski;0
2020-03-20;gdański;0
2020-03-20;kartuski;0
2020-03-20;bytowski;0
2020-03-20;malborski;0
2020-03-20;pucki;0
2020-03-20;wejherowski;0
2020-03-20;starogardzki;0
2020-03-20;chojnicki;0
2020-03-20;sztumski;0
2020-03-20;kwidzyński;0
2020-03-20;kościerski;0
2020-03-20;nowodworski;0
2020-03-20;słupski;0
2020-03-20;lęborski;0
2020-03-20;człuchowski;0
2020-03-21;Gdynia;0
2020-03-21;Gdańsk;0
2020-03-21;Słupsk;0
2020-03-21;Sopot;0
2020-03-21;tczewski;0
2020-03-21;gdański;0
2020-03-21;kartuski;0
2020-03-21;bytowski;0
2020-03-21;malborski;0
2020-03-21;pucki;0
2020-03-21;wejherowski;0
2020-03-21;starogardzki;0
2020-03-21;chojnicki;0
2020-03-21;sztumski;0
2020-03-21;kwidzyński;0
2020-03-21;kościerski;0
2020-03-21;nowodworski;0
2020-03-21;słupski;0
2020-03-21;lęborski;0
2020-03-21;człuchowski;0
2020-03-22;Gdynia;0
2020-03-22;Gdańsk;0
2020-03-22;Słupsk;0
2020-03-22;Sopot;0
2020-03-22;tczewski;0
2020-03-22;gdański;0
2020-03-22;kartuski;0
2020-03-22;bytowski;0
2020-03-22;malborski;0
2020-03-22;pucki;0
2020-03-22;wejherowski;0
2020-03-22;starogardzki;0
2020-03-22;chojnicki;0
2020-03-22;sztumski;0
2020-03-22;kwidzyński;0
2020-03-22;kościerski;0
2020-03-22;nowodworski;0
2020-03-22;słupski;0
2020-03-22;lęborski;0
2020-03-22;człuchowski;0
2020-03-23;Gdynia;0
2020-03-23;Gdańsk;3
2020-03-23;Słupsk;0
2020-03-23;Sopot;0
2020-03-23;tczewski;0
2020-03-23;gdański;0
2020-03-23;kartuski;0
2020-03-23;bytowski;0
2020-03-23;malborski;0
2020-03-23;pucki;0
2020-03-23;wejherowski;0
2020-03-23;starogardzki;0
2020-03-23;chojnicki;0
2020-03-23;sztumski;0
2020-03-23;kwidzyński;1
2020-03-23;kościerski;0
2020-03-23;nowodworski;0
2020-03-23;słupski;0
2020-03-23;lęborski;0
2020-03-23;człuchowski;0
2020-03-24;Gdynia;0
2020-03-24;Gdańsk;0
2020-03-24;Słupsk;0
2020-03-24;Sopot;0
2020-03-24;tczewski;0
2020-03-24;gdański;0
2020-03-24;kartuski;0
2020-03-24;bytowski;0
2020-03-24;malborski;0
2020-03-24;pucki;0
2020-03-24;wejherowski;0
2020-03-24;starogardzki;0
2020-03-24;chojnicki;0
2020-03-24;sztumski;0
2020-03-24;kwidzyński;0
2020-03-24;kościerski;0
2020-03-24;nowodworski;0
2020-03-24;słupski;0
2020-03-24;lęborski;0
2020-03-24;człuchowski;0
2020-03-26;Gdynia;0
2020-03-26;Gdańsk;0
2020-03-26;Słupsk;0
2020-03-26;Sopot;0
2020-03-26;tczewski;0
2020-03-26;gdański;0
2020-03-26;kartuski;0
2020-03-26;bytowski;0
2020-03-26;malborski;0
2020-03-26;pucki;0
2020-03-26;wejherowski;0
2020-03-26;starogardzki;0
2020-03-26;chojnicki;0
2020-03-26;sztumski;0
2020-03-26;kwidzyński;0
2020-03-26;kościerski;0
2020-03-26;nowodworski;0
2020-03-26;słupski;0
2020-03-26;lęborski;0
2020-03-26;człuchowski;0
2020-03-27;Gdynia;0
2020-03-27;Gdańsk;0
2020-03-27;Słupsk;0
2020-03-27;Sopot;0
2020-03-27;tczewski;0
2020-03-27;gdański;1
2020-03-27;kartuski;0
2020-03-27;bytowski;0
2020-03-27;malborski;0
2020-03-27;pucki;0
2020-03-27;wejherowski;2
2020-03-27;starogardzki;0
2020-03-27;chojnicki;0
2020-03-27;sztumski;0
2020-03-27;kwidzyński;0
2020-03-27;kościerski;0
2020-03-27;nowodworski;0
2020-03-27;słupski;0
2020-03-27;lęborski;0
2020-03-27;człuchowski;0
2020-03-28;Gdynia;0
2020-03-28;Gdańsk;0
2020-03-28;Słupsk;0
2020-03-28;Sopot;0
2020-03-28;tczewski;0
2020-03-28;gdański;0
2020-03-28;kartuski;0
2020-03-28;bytowski;0
2020-03-28;malborski;0
2020-03-28;pucki;0
2020-03-28;wejherowski;0
2020-03-28;starogardzki;0
2020-03-28;chojnicki;0
2020-03-28;sztumski;0
2020-03-28;kwidzyński;0
2020-03-28;kościerski;0
2020-03-28;nowodworski;0
2020-03-28;słupski;0
2020-03-28;lęborski;0
2020-03-28;człuchowski;0
2020-03-29;Gdynia;0
2020-03-29;Gdańsk;0
2020-03-29;Słupsk;0
2020-03-29;Sopot;0
2020-03-29;tczewski;0
2020-03-29;gdański;0
2020-03-29;kartuski;0
2020-03-29;bytowski;0
2020-03-29;malborski;0
2020-03-29;pucki;0
2020-03-29;wejherowski;0
2020-03-29;starogardzki;0
2020-03-29;chojnicki;0
2020-03-29;sztumski;0
2020-03-29;kwidzyński;0
2020-03-29;kościerski;0
2020-03-29;nowodworski;0
2020-03-29;słupski;0
2020-03-29;lęborski;0
2020-03-29;człuchowski;0
2020-03-30;Gdynia;0
2020-03-30;Gdańsk;0
2020-03-30;Słupsk;0
2020-03-30;Sopot;0
2020-03-30;tczewski;0
2020-03-30;gdański;0
2020-03-30;kartuski;0
2020-03-30;bytowski;0
2020-03-30;malborski;0
2020-03-30;pucki;0
2020-03-30;wejherowski;0
2020-03-30;starogardzki;0
2020-03-30;chojnicki;0
2020-03-30;sztumski;0
2020-03-30;kwidzyński;0
2020-03-30;kościerski;0
2020-03-30;nowodworski;0
2020-03-30;słupski;0
2020-03-30;lęborski;0
2020-03-30;człuchowski;0
2020-03-31;Gdynia;0
2020-03-31;Gdańsk;0
2020-03-31;Słupsk;0
2020-03-31;Sopot;0
2020-03-31;tczewski;0
2020-03-31;gdański;0
2020-03-31;kartuski;0
2020-03-31;bytowski;0
2020-03-31;malborski;0
2020-03-31;pucki;0
2020-03-31;wejherowski;0
2020-03-31;starogardzki;0
2020-03-31;chojnicki;0
2020-03-31;sztumski;0
2020-03-31;kwidzyński;0
2020-03-31;kościerski;0
2020-03-31;nowodworski;0
2020-03-31;słupski;0
2020-03-31;lęborski;0
2020-03-31;człuchowski;0
2020-04-01;Gdynia;0
2020-04-01;Gdańsk;0
2020-04-01;Słupsk;0
2020-04-01;Sopot;0
2020-04-01;tczewski;0
2020-04-01;gdański;0
2020-04-01;kartuski;0
2020-04-01;bytowski;0
2020-04-01;malborski;0
2020-04-01;pucki;0
2020-04-01;wejherowski;0
2020-04-01;starogardzki;0
2020-04-01;chojnicki;0
2020-04-01;sztumski;0
2020-04-01;kwidzyński;0
2020-04-01;kościerski;0
2020-04-01;nowodworski;0
2020-04-01;słupski;0
2020-04-01;lęborski;0
2020-04-01;człuchowski;0
2020-04-02;Gdynia;0
2020-04-02;Gdańsk;1
2020-04-02;Słupsk;0
2020-04-02;Sopot;0
2020-04-02;tczewski;0
2020-04-02;gdański;0
2020-04-02;kartuski;1
2020-04-02;bytowski;0
2020-04-02;malborski;0
2020-04-02;pucki;0
2020-04-02;wejherowski;3
2020-04-02;starogardzki;0
2020-04-02;chojnicki;0
2020-04-02;sztumski;0
2020-04-02;kwidzyński;0
2020-04-02;kościerski;0
2020-04-02;nowodworski;0
2020-04-02;słupski;0
2020-04-02;lęborski;0
2020-04-02;człuchowski;0
2020-04-03;Gdynia;0
2020-04-03;Gdańsk;1
2020-04-03;Słupsk;0
2020-04-03;Sopot;0
2020-04-03;tczewski;0
2020-04-03;gdański;0
2020-04-03;kartuski;0
2020-04-03;bytowski;0
2020-04-03;malborski;0
2020-04-03;pucki;1
2020-04-03;wejherowski;0
2020-04-03;starogardzki;0
2020-04-03;chojnicki;0
2020-04-03;sztumski;0
2020-04-03;kwidzyński;0
2020-04-03;kościerski;0
2020-04-03;nowodworski;0
2020-04-03;słupski;0
2020-04-03;lęborski;0
2020-04-03;człuchowski;0
2020-04-04;Gdynia;1
2020-04-04;Gdańsk;2
2020-04-04;Słupsk;1
2020-04-04;Sopot;0
2020-04-04;tczewski;0
2020-04-04;gdański;0
2020-04-04;kartuski;2
2020-04-04;bytowski;0
2020-04-04;malborski;0
2020-04-04;pucki;0
2020-04-04;wejherowski;3
2020-04-04;starogardzki;0
2020-04-04;chojnicki;0
2020-04-04;sztumski;0
2020-04-04;kwidzyński;0
2020-04-04;kościerski;0
2020-04-04;nowodworski;0
2020-04-04;słupski;0
2020-04-04;lęborski;0
2020-04-04;człuchowski;0
2020-04-05;Gdynia;1
2020-04-05;Gdańsk;1
2020-04-05;Słupsk;0
2020-04-05;Sopot;0
2020-04-05;tczewski;0
2020-04-05;gdański;0
2020-04-05;kartuski;0
2020-04-05;bytowski;0
2020-04-05;malborski;0
2020-04-05;pucki;1
2020-04-05;wejherowski;2
2020-04-05;starogardzki;0
2020-04-05;chojnicki;0
2020-04-05;sztumski;0
2020-04-05;kwidzyński;0
2020-04-05;kościerski;0
2020-04-05;nowodworski;0
2020-04-05;słupski;0
2020-04-05;lęborski;0
2020-04-05;człuchowski;0
2020-04-06;Gdynia;0
2020-04-06;Gdańsk;3
2020-04-06;Słupsk;0
2020-04-06;Sopot;0
2020-04-06;tczewski;0
2020-04-06;gdański;1
2020-04-06;kartuski;1
2020-04-06;bytowski;0
2020-04-06;malborski;0
2020-04-06;pucki;0
2020-04-06;wejherowski;3
2020-04-06;starogardzki;0
2020-04-06;chojnicki;0
2020-04-06;sztumski;0
2020-04-06;kwidzyński;0
2020-04-06;kościerski;0
2020-04-06;nowodworski;0
2020-04-06;słupski;0
2020-04-06;lęborski;0
2020-04-06;człuchowski;0
2020-04-07;Gdynia;0
2020-04-07;Gdańsk;0
2020-04-07;Słupsk;1
2020-04-07;Sopot;0
2020-04-07;tczewski;0
2020-04-07;gdański;0
2020-04-07;kartuski;0
2020-04-07;bytowski;0
2020-04-07;malborski;0
2020-04-07;pucki;0
2020-04-07;wejherowski;1
2020-04-07;starogardzki;0
2020-04-07;chojnicki;0
2020-04-07;sztumski;0
2020-04-07;kwidzyński;0
2020-04-07;kościerski;0
2020-04-07;nowodworski;0
2020-04-07;słupski;0
2020-04-07;lęborski;0
2020-04-07;człuchowski;0
2020-04-08;Gdynia;4
2020-04-08;Gdańsk;1
2020-04-08;Słupsk;0
2020-04-08;Sopot;0
2020-04-08;tczewski;0
2020-04-08;gdański;0
2020-04-08;kartuski;0
2020-04-08;bytowski;0
2020-04-08;malborski;0
2020-04-08;pucki;0
2020-04-08;wejherowski;0
2020-04-08;starogardzki;0
2020-04-08;chojnicki;0
2020-04-08;sztumski;0
2020-04-08;kwidzyński;0
2020-04-08;kościerski;2
2020-04-08;nowodworski;0
2020-04-08;słupski;0
2020-04-08;lęborski;0
2020-04-08;człuchowski;0
2020-04-09;Gdynia;3
2020-04-09;Gdańsk;2
2020-04-09;Słupsk;0
2020-04-09;Sopot;0
2020-04-09;tczewski;0
2020-04-09;gdański;3
2020-04-09;kartuski;1
2020-04-09;bytowski;0
2020-04-09;malborski;0
2020-04-09;pucki;0
2020-04-09;wejherowski;0
2020-04-09;starogardzki;0
2020-04-09;chojnicki;0
2020-04-09;sztumski;0
2020-04-09;kwidzyński;0
2020-04-09;kościerski;0
2020-04-09;nowodworski;0
2020-04-09;słupski;0
2020-04-09;lęborski;0
2020-04-09;człuchowski;0
2020-04-10;Gdynia;1
2020-04-10;Gdańsk;0
2020-04-10;Słupsk;0
2020-04-10;Sopot;0
2020-04-10;tczewski;0
2020-04-10;gdański;0
2020-04-10;kartuski;0
2020-04-10;bytowski;0
2020-04-10;malborski;0
2020-04-10;pucki;0
2020-04-10;wejherowski;1
2020-04-10;starogardzki;0
2020-04-10;chojnicki;0
2020-04-10;sztumski;0
2020-04-10;kwidzyński;0
2020-04-10;kościerski;0
2020-04-10;nowodworski;0
2020-04-10;słupski;0
2020-04-10;lęborski;0
2020-04-10;człuchowski;0
2020-04-11;Gdynia;0
2020-04-11;Gdańsk;3
2020-04-11;Słupsk;0
2020-04-11;Sopot;0
2020-04-11;tczewski;0
2020-04-11;gdański;2
2020-04-11;kartuski;0
2020-04-11;bytowski;0
2020-04-11;malborski;0
2020-04-11;pucki;0
2020-04-11;wejherowski;1
2020-04-11;starogardzki;0
2020-04-11;chojnicki;0
2020-04-11;sztumski;0
2020-04-11;kwidzyński;0
