date;meanage;meanagec;nn
2020-04-22;95.00;95.00;1
2020-04-27;85.50;88.67;2
2020-04-28;83.00;85.83;3
2020-04-29;82.00;84.88;2
2020-04-30;78.00;84.11;1
2020-05-01;86.00;84.30;1
2020-05-02;88.00;84.92;2
2020-05-03;71.00;83.85;1
2020-05-04;90.33;85.06;3
2020-05-05;83.00;84.94;1
2020-05-06;82.00;84.63;2
2020-05-07;96.00;85.20;1
2020-05-08;79.00;84.90;1
2020-05-09;93.00;85.27;1
2020-05-10;89.50;85.62;2
2020-05-11;65.00;84.80;1
2020-05-12;81.00;84.65;1
2020-05-19;82.00;84.56;1
2020-05-23;78.00;84.32;1
2020-05-26;88.00;84.57;2
2020-05-27;75.00;84.26;1
2020-05-29;93.00;84.53;1
2020-05-30;89.00;84.67;1
2020-06-05;94.00;84.94;1
2020-06-08;71.00;84.54;1
2020-06-15;84.00;84.53;1
2020-07-18;74.00;84.24;1
2020-08-11;66.00;83.76;1
2020-08-13;66.00;83.31;1
2020-08-17;29.00;81.95;1
2020-08-20;83.00;81.98;1
2020-08-21;70.00;81.69;1
2020-08-23;91.00;81.91;1
2020-08-31;81.33;81.87;3
2020-09-03;74.00;81.70;1
2020-09-09;73.00;81.52;1
2020-09-16;68.00;81.24;1
2020-09-19;68.50;80.75;2
2020-09-22;92.00;80.96;1
2020-09-23;88.00;81.22;2
2020-09-24;87.00;81.33;1
2020-09-25;83.00;81.36;1
2020-09-26;85.33;81.56;3
2020-09-27;77.50;81.43;2
2020-09-28;68.60;80.45;5
2020-09-29;79.00;80.35;5
2020-10-02;74.33;80.11;3
2020-10-03;79.00;80.08;2
2020-10-04;78.33;80.01;3
2020-10-05;71.40;79.50;5
2020-10-06;73.25;78.96;8
2020-10-07;78.00;78.89;7
2020-10-08;61.00;78.71;1
2020-10-09;82.00;79.01;10
2020-10-10;81.67;79.08;3
2020-10-11;84.67;79.22;3
2020-10-12;80.50;79.25;2
2020-10-13;80.00;79.28;5
2020-10-14;79.73;79.31;11
2020-10-15;74.82;78.97;11
2020-10-16;77.67;78.90;9
2020-10-17;72.17;78.64;6
2020-10-18;88.80;78.95;5
2020-10-19;88.50;79.07;2
2020-10-20;73.00;78.82;7
2020-10-21;76.86;78.75;7
2020-10-22;67.00;78.31;7
2020-10-23;67.86;77.93;7
2020-10-24;68.55;77.43;11
2020-10-25;80.40;77.50;5
2020-10-26;80.25;77.55;4
2020-10-27;78.89;77.61;9
2020-10-28;76.79;77.56;14
2020-10-29;74.56;77.37;16
2020-10-30;63.31;76.69;13
2020-10-31;71.25;76.38;16
2020-11-01;77.43;76.40;7
2020-11-02;70.89;76.24;9
2020-11-03;75.64;76.20;22
2020-11-04;77.17;76.23;12
2020-11-05;76.75;76.26;20
2020-11-06;68.54;75.99;13
2020-11-07;74.71;75.94;14
2020-11-08;78.83;76.03;12
2020-11-09;75.50;76.02;4
2020-11-10;77.91;76.17;33
2020-11-11;76.56;76.18;16
