id;date;nc;tc;nd;td;nt;tt
PL;2020-04-03;0;3383;0;71;;
PL;2020-04-04;244;3627;8;79;;
PL;2020-04-05;475;4102;15;94;;
PL;2020-04-06;311;4413;13;107;;
PL;2020-04-07;435;4848;22;129;;
PL;2020-04-08;357;5205;30;159;;
PL;2020-04-09;370;5575;15;174;;
PL;2020-04-10;380;5955;7;181;;
PL;2020-04-11;401;6356;27;208;;
PL;2020-04-12;318;6674;24;232;;
PL;2020-04-13;260;6934;13;245;;
PL;2020-04-14;268;7202;18;263;;
PL;2020-04-15;380;7582;23;286;;
PL;2020-04-16;336;7918;28;314;;
PL;2020-04-17;461;8379;18;332;;
PL;2020-04-18;363;8742;15;347;;
PL;2020-04-19;545;9287;13;360;;
PL;2020-04-20;306;9593;20;380;;
PL;2020-04-21;263;9856;21;401;;
PL;2020-04-22;313;10169;25;426;;
PL;2020-04-23;342;10511;28;454;;
PL;2020-04-24;381;10892;40;494;;
PL;2020-04-25;381;11273;30;524;;
PL;2020-04-26;344;11617;11;535;;
PL;2020-04-27;285;11902;27;562;;
PL;2020-04-28;316;12218;34;596;;
PL;2020-04-29;422;12640;28;624;;
PL;2020-04-30;237;12877;20;644;;
PL;2020-05-01;228;13105;7;651;;
PL;2020-05-02;270;13375;13;664;;
PL;2020-05-03;318;13693;14;678;;
PL;2020-05-04;313;14006;20;698;;
PL;2020-05-05;425;14431;18;716;;
PL;2020-05-06;309;14740;17;733;;
PL;2020-05-07;307;15047;22;755;;
PL;2020-05-08;319;15366;21;776;;
PL;2020-05-09;285;15651;9;785;;
PL;2020-05-10;345;15996;15;800;;
PL;2020-05-11;330;16326;11;811;;
PL;2020-05-12;595;16921;28;839;;
PL;2020-05-13;283;17204;22;861;;
PL;2020-05-14;411;17615;22;883;;
PL;2020-05-15;401;18016;24;907;;
PL;2020-05-16;241;18257;8;915;;
PL;2020-05-17;272;18529;10;925;;
PL;2020-05-18;356;18885;11;936;;
PL;2020-05-19;383;19268;12;948;;
PL;2020-05-20;471;19739;14;962;;
PL;2020-05-21;404;20143;10;972;;
PL;2020-05-22;476;20619;10;982;;
PL;2020-05-23;312;20931;11;993;;
PL;2020-05-24;395;21326;3;996;;
PL;2020-05-25;305;21631;11;1007;;
PL;2020-05-26;443;22074;17;1024;;
PL;2020-05-27;399;22473;4;1028;;
PL;2020-05-28;352;22825;10;1038;;
PL;2020-05-29;330;23155;13;1051;;
PL;2020-05-30;416;23571;10;1061;;
PL;2020-05-31;215;23786;3;1064;;
PL;2020-06-01;379;24165;10;1074;;
PL;2020-06-02;230;24395;18;1092;;
PL;2020-06-03;292;24687;23;1115;;
PL;2020-06-04;361;25048;2;1117;;
PL;2020-06-05;371;25419;20;1137;;
PL;2020-06-06;567;25986;16;1153;;
PL;2020-06-07;575;26561;4;1157;;
PL;2020-06-08;599;27160;9;1166;;
PL;2020-06-09;400;27560;17;1183;;
PL;2020-06-10;197;27757;23;1206;;
PL;2020-06-11;444;28201;9;1215;;
PL;2020-06-12;376;28577;7;1222;;
PL;2020-06-13;440;29017;15;1237;;
PL;2020-06-14;375;29392;10;1247;;
PL;2020-06-15;396;29788;9;1256;;
PL;2020-06-16;407;30195;16;1272;;
PL;2020-06-17;506;30701;14;1286;;
PL;2020-06-18;314;31015;30;1316;;
PL;2020-06-19;301;31316;18;1334;;
PL;2020-06-20;304;31620;12;1346;;
PL;2020-06-21;311;31931;10;1356;;
PL;2020-06-22;296;32227;3;1359;;
PL;2020-06-23;300;32527;16;1375;;
PL;2020-06-24;294;32821;21;1396;;
PL;2020-06-25;298;33119;16;1412;;
PL;2020-06-26;276;33395;17;1429;;
PL;2020-06-27;319;33714;6;1435;;
PL;2020-06-28;193;33907;3;1438;;
PL;2020-06-29;247;34154;6;1444;;
PL;2020-06-30;239;34393;19;1463;;
PL;2020-07-01;382;34775;14;1477;;
PL;2020-07-02;371;35146;15;1492;;
PL;2020-07-03;259;35405;15;1507;;
PL;2020-07-04;314;35719;5;1512;;
PL;2020-07-05;231;35950;5;1517;;
PL;2020-07-06;205;36155;4;1521;;
PL;2020-07-07;257;36412;7;1528;;
PL;2020-07-08;277;36689;14;1542;;
PL;2020-07-09;262;36951;9;1551;;
PL;2020-07-10;265;37216;11;1562;;
PL;2020-07-11;305;37521;6;1568;;
PL;2020-07-12;370;37891;3;1571;;
PL;2020-07-13;299;38190;5;1576;;
PL;2020-07-14;267;38457;12;1588;;
